what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1339528423009
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1339528423403
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339528427556
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1339528429582
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339528432847
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339528446582
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1339528446672
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339528452831
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339528460038
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1339528461870
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1339528468623
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339528471909
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339528472051
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339528560935
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339528562857
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339528564312
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339528566089
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339528570355
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339528581827
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339528585667
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339528605954
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339528607636
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339528609562
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339528615125
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339528617706
activated,perspective,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.Perspective",1339528618259
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339528622872
